Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p15,worldStabilized_sphere_VR,1.5,2.6305423601560243,1.9097119707317969,3.4865529127167516,3.4933419067509797,2.329065167560649,4.875958614374172,,,,17.11082432015182,17.01459615627934,17.22509806183811,,,
p15,worldStabilized_walking,1.5,3.161872708257449,3.155562838901279,3.1637984373502173,5.101131007208201,5.115449985539033,5.09699653666443,,,,19.34306413991547,18.04813940961521,19.72857282665764,,,
p16,calibration,1.5,2.0674708757694944,2.0674708757694944,,2.1379612774099095,2.1379612774099095,,2.7961273729241674,0.4405238122030772,,2.5484983168753814,2.5484983168753814,,2.5197126003597576,0.3942011023670428,
p16,screenStabilized_headConstrained,1.5,2.0993180263405,2.195899021588713,2.0703076651092776,2.18591916850931,2.3206976384850666,2.145427657174421,,,0.6806323693268282,2.2773484168250295,2.3992527247019386,2.240683124413132,,,0.6097249243538957
p16,screenStabilized_walking,1.5,4.817903360910581,5.469459368680772,4.623143884325069,7.985186727486173,7.728445763610354,8.06202720195077,,,,16.98569188950858,15.828826329292669,17.332588612506008,,,
p16,worldStabilized_bodyConstrained,1.5,2.667919539659473,1.866137529286852,2.9088418338193325,2.958437238467126,2.2392310106070923,3.174546869449706,,,,4.4506093439534755,4.34999569910422,4.480842087800649,,,
p16,worldStabilized_sphere,1.5,2.884053781614478,2.1450263473784883,3.7617602055884216,3.79987996350834,2.662057908034326,5.151228416662445,,,,14.4361731418476,14.237736076496713,14.67185815669467,,,
p16,worldStabilized_sphere_VR,1.5,3.1284850685720684,2.3738680662339657,4.027204096310792,4.033746585963769,2.9136712936434614,5.367706620831373,,,,14.394636994380782,14.084010786711989,14.764558889507509,,,
p16,worldStabilized_walking,1.5,3.468615599446707,2.9304255369427885,3.630789459060565,5.394795634661248,3.931647002709945,5.835630307452424,,,,15.743313240550481,14.60778136908744,16.0853576445083,,,
p17,calibration,1.5,2.6900806847712344,2.6900806847712344,,2.800528659482777,2.800528659482777,,3.1090444687253416,0.7449750953482661,,3.7729413507269665,3.7729413507269665,,2.646198716878644,0.6360800333258837,
p17,screenStabilized_headConstrained,1.5,3.0832046554303703,3.3978578935496597,2.9887798740163984,3.183951912324135,3.534843476350275,3.0786510566692904,,,1.0741473437665436,4.365343401829111,5.762531104835397,3.9459450016867437,,,0.906637861418147
p17,screenStabilized_walking,1.5,5.306825107864912,6.838511411188593,4.846828892938316,8.086858020697463,9.266472395036661,7.7325523184888745,,,,22.05524118937599,20.997226872155515,22.372941626672656,,,
p17,worldStabilized_bodyConstrained,1.5,1.9243616058457573,1.8646202786474422,1.9423128519189583,2.195142153835496,2.1664551363102778,2.2037706694839243,,,,5.811631828509711,7.1494311343872425,5.409962787017397,,,
